ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
230837,202102,3074,9287,2752,8744,109,450,2201,6878,2310,7328
230840,202102,9260,26642,7991,24504,924,2596,5560,17330,6484,19926
230850,202102,9677,27646,8120,24604,348,1191,5890,17589,6238,18780
230860,202102,5396,13322,4489,12038,59,192,3971,10591,4030,10783
230870,202102,16492,39614,14219,35867,394,1083,11681,28924,12075,30007
230880,202102,2121,6307,1947,6033,48,245,1547,4663,1595,4908
230890,202102,4503,14243,4114,13479,330,1153,2999,9708,3329,10861
230900,202102,2935,8373,2535,7626,183,625,1709,5028,1892,5653
230910,202102,3154,8360,2562,7452,62,282,2066,5991,2128,6273
230920,202102,4674,12990,3953,11848,117,478,3159,9269,3276,9747
230930,202102,6522,17983,5478,16142,296,824,3816,11287,4112,12111
230940,202102,8265,20489,7179,18855,214,509,5993,15656,6207,16165
230945,202102,6588,18566,5649,16804,281,973,4044,11769,4325,12742
230950,202102,6205,15477,5501,14519,103,243,4745,12569,4848,12812
230960,202102,13434,38286,11793,35211,2013,5844,5734,17386,7747,23230
230970,202102,13600,35573,11369,32157,1665,4550,6612,18968,8277,23518
230980,202102,2661,7644,2360,7126,341,965,1479,4628,1820,5593
230990,202102,1676,4629,1384,4058,66,261,990,2763,1056,3024
231000,202102,2519,6680,2058,5780,80,198,1523,4179,1603,4377
231010,202102,3658,8436,2874,7107,34,129,2502,6007,2536,6136
231020,202102,7917,24373,7084,22792,1272,3702,4069,13651,5341,17353
231025,202102,7561,20399,6580,18805,721,2003,4624,13338,5345,15341
231030,202102,7361,21580,5816,18353,995,2975,2910,9305,3905,12280
231040,202102,2939,8290,2554,7584,121,366,2001,5847,2122,6213
231050,202102,11645,29532,9558,25894,626,1622,7120,18946,7746,20568
231060,202102,2909,8061,2566,7521,57,172,2151,6304,2208,6476
231070,202102,7819,22430,6732,20539,672,2114,4480,13567,5152,15681
231080,202102,3970,11082,3378,10118,135,517,2576,7569,2711,8086
231085,202102,6889,16326,5473,14678,225,533,4276,11525,4501,12058
231090,202102,4571,11745,3381,9484,100,378,2285,6168,2385,6546
231095,202102,2257,6634,1791,5649,145,448,1198,3778,1343,4226
231100,202102,3209,9113,2642,8042,114,410,1981,5963,2095,6373
231110,202102,3702,10601,3374,9995,140,483,2553,7457,2693,7940
231120,202102,2302,6563,1903,5875,81,287,1374,4205,1455,4492
231123,202102,1915,4880,1622,4381,81,167,1188,3241,1269,3408
231126,202102,5459,14840,4504,13040,305,833,3199,9203,3504,10036
231130,202102,21718,54254,18053,49695,1064,3470,13422,36359,14486,39829
231135,202102,4153,11586,3461,10242,176,560,2454,7181,2630,7741
231140,202102,16469,45766,13275,40271,677,2480,9343,27729,10020,30209
231150,202102,5881,15738,4495,13147,646,1882,1964,5925,2610,7807
231160,202102,6235,18836,5572,17643,775,2354,3157,10332,3932,12686
231170,202102,4157,12073,3490,10847,164,588,2477,7456,2641,8044
231180,202102,14234,39762,11654,34444,3049,8760,4086,12554,7135,21314
231190,202102,3863,10793,3179,9552,68,278,2434,7168,2502,7446
231195,202102,4985,14745,4175,13101,271,933,3011,9414,3282,10347
231200,202102,7798,23902,6854,22012,180,890,5430,16906,5610,17796
231210,202102,4839,14001,4146,12867,151,548,3202,9770,3353,10318
231220,202102,12193,31161,9609,26368,433,1236,6976,18600,7409,19836
231230,202102,9190,29068,8121,27094,542,2032,5932,19879,6474,21911
231240,202102,11537,33165,10175,30625,1584,4588,6119,18712,7703,23300
231250,202102,2161,5479,1432,3895,114,320,847,2242,961,2562
231260,202102,3274,9078,2845,8403,267,736,1937,5858,2204,6594
231270,202102,6313,16375,5105,14404,153,562,3863,10643,4016,11205
231280,202102,1702,5260,1561,5004,85,271,1190,3792,1275,4063
